,lat,lon
0,47.64870058519663,-122.36228608297853
1,47.52523524818971,-122.30835158646521
2,47.69493830615077,-122.30428237763974
3,47.55874923345728,-122.30856090236372
4,47.61779826524447,-122.35381071042156
5,47.65418608459004,-122.35610298011552
6,47.56349419948231,-122.38143735796116
7,47.52574530634416,-122.4125435234378
8,47.69606530976796,-122.2663803425382
9,47.65180068710642,-122.26302858849452
10,47.65244051398097,-122.2731430413422
11,47.662865363828864,-122.26258403717132
12,47.5561731122917,-122.29577953137998
13,47.56387881044766,-122.32873676995816
14,47.669939437978094,-122.42038484794138
15,47.61010681647557,-122.28769535241817
16,47.57771349513813,-122.3071072964886
17,47.6333220278113,-122.41132507521536
18,47.672547362964146,-122.2901824003374
19,47.542086998626594,-122.29634291965249
20,47.62956283825683,-122.4077189498772
21,47.62140867071469,-122.39455770418172
22,47.67379063075758,-122.38144657196713
23,47.676666706910204,-122.29895591664749
24,47.51786894412279,-122.26393490035561
25,47.5321390172691,-122.29463556804662
26,47.524169083085596,-122.36672632129533
27,47.66422907030041,-122.34469069887416
28,47.643992281099585,-122.34016603714853
29,47.5503136305014,-122.3898060962107
30,47.56580101999362,-122.43390481592061
31,47.5137784970166,-122.41327787179607
32,47.615892533474444,-122.4109046813916
33,47.57032455045288,-122.3651671347999
34,47.60706581866284,-122.24041020596447
35,47.59511008398107,-122.40404622509836
36,47.57984019420863,-122.3303658815
37,47.65891211350889,-122.25222523851771
38,47.564986002389595,-122.36741161314576
39,47.63864698451231,-122.32679653856322
40,47.684951979131974,-122.27660886505336
41,47.56029866741865,-122.42230719131393
42,47.649744426199085,-122.41476398556703
43,47.56612406360328,-122.30185167437944
44,47.672731898829625,-122.30318860882183
45,47.51256754625854,-122.33102119519256
46,47.67914771406705,-122.29913840713121
47,47.6992938886108,-122.23594563298718
48,47.66805345667934,-122.35214629242702
49,47.55529730070684,-122.41766813813038
50,47.670269859992565,-122.3014670042733
51,47.62664504857871,-122.28007199435122
52,47.5223827958022,-122.27791610028025
53,47.54229709487967,-122.2903057197592
54,47.511362928182706,-122.28746601085942
55,47.56030421499057,-122.32543081293963
56,47.604117853200734,-122.34145963865235
57,47.70702961749389,-122.26148684951481
58,47.68175161172617,-122.25458727640697
59,47.59571125036351,-122.26817932359221
60,47.693067134640984,-122.25258731795988
61,47.53223699227052,-122.26331584338787
62,47.529424126567754,-122.27281407504103
63,47.69066542655073,-122.38635118937516
64,47.61251549356735,-122.31469245450796
65,47.57151204477317,-122.28828779489868
66,47.545702472355224,-122.38378330800239
67,47.537227072965,-122.3210362240659
68,47.65150586818206,-122.37509202527782
69,47.63853274789959,-122.24436729525371
70,47.552544018728376,-122.26418041566843
71,47.52521923392672,-122.28900962169803
72,47.605398541363265,-122.29174049446948
73,47.54951712884409,-122.29587740322634
74,47.670555524244335,-122.31457360294806
75,47.61961020729171,-122.25055882838954
76,47.697000333965136,-122.36138249876673
77,47.599220045479626,-122.25875529969453
78,47.608154267044256,-122.25640804027763
79,47.65084237928906,-122.28513157474197
80,47.6723258404371,-122.42882611057448
81,47.68341917730923,-122.26322884554584
82,47.69514831040444,-122.42355245416061
83,47.63737059828228,-122.43484591913433
84,47.52066399380529,-122.25095771052952
85,47.66994044871918,-122.24986150790744
86,47.57219920568197,-122.28588997167802
87,47.671643974705205,-122.3093322779053
88,47.631278236534264,-122.28398111065106
89,47.586950765677095,-122.3941405296038
90,47.600727773302616,-122.38839311540569
91,47.68814628594475,-122.28019203541
92,47.52028531534729,-122.25388539607523
93,47.687033944797236,-122.3426725917393
94,47.61536336672197,-122.33957196421123
95,47.51444957882566,-122.31352536897387
96,47.57645334268964,-122.39289510405666
97,47.51405544015759,-122.23902530456823
98,47.57434999884311,-122.28773218139426
99,47.60959454312715,-122.38098784206905
100,47.6919991299694,-122.34314980326359
101,47.696275532791105,-122.2702653972585
102,47.580939271937225,-122.41015301221437
103,47.523943963691245,-122.3789804633842
104,47.510243885847714,-122.25256995508632
105,47.63812006216498,-122.42604849959915
106,47.586465433247724,-122.25513521602521
107,47.6745750214496,-122.41196357727613
108,47.585152575796,-122.3959658251771
109,47.53371390708248,-122.36486709005668
110,47.684603922809735,-122.24800091353656
111,47.60081622330746,-122.37801425799958
112,47.60058747053892,-122.34638346462602
113,47.56225631270575,-122.42837143528682
