,lat,lon,restaurant_count,school_count,park_count,bus_station_count,supermarket_count,pub_count,parkwide_count,restaurantwide_count
0,47.64870058519663,-122.36228608297851,10,1,5,3,1,9,10,10
1,47.52523524818971,-122.3083515864652,8,1,0,6,0,0,10,8
2,47.69493830615077,-122.30428237763974,2,5,2,7,0,2,10,10
3,47.55874923345728,-122.30856090236372,2,4,3,3,1,0,10,10
4,47.61779826524447,-122.35381071042156,10,2,10,3,5,10,10,10
5,47.65418608459004,-122.35610298011552,10,2,9,3,2,10,10,10
6,47.56349419948231,-122.38143735796116,10,7,5,3,4,4,10,10
7,47.52574530634416,-122.4125435234378,0,0,0,3,0,0,10,0
8,47.69606530976796,-122.2663803425382,1,1,1,6,0,0,10,1
9,47.65180068710642,-122.26302858849452,0,0,2,10,0,0,10,0
10,47.65244051398097,-122.2731430413422,0,0,5,9,0,0,10,4
11,47.662865363828864,-122.26258403717132,0,1,2,10,0,0,10,2
12,47.5561731122917,-122.29577953137998,10,2,5,3,2,5,10,10
13,47.56387881044766,-122.32873676995816,4,1,1,3,1,1,10,10
14,47.669939437978094,-122.42038484794138,0,1,1,0,0,0,10,3
15,47.61010681647557,-122.28769535241815,10,4,10,6,2,1,10,10
16,47.57771349513813,-122.3071072964886,10,1,6,6,3,1,10,10
17,47.6333220278113,-122.41132507521536,2,0,6,1,0,0,10,10
18,47.67254736296415,-122.2901824003374,10,3,2,8,2,2,10,10
19,47.542086998626594,-122.29634291965247,3,1,5,6,0,0,10,10
20,47.62956283825683,-122.4077189498772,0,0,4,1,0,0,10,10
21,47.62140867071469,-122.39455770418172,0,0,0,2,0,0,10,2
22,47.67379063075758,-122.38144657196712,10,4,7,1,5,10,10,10
23,47.67666670691021,-122.29895591664749,10,5,5,7,1,0,10,10
24,47.51786894412279,-122.2639349003556,5,4,5,6,1,0,10,10
25,47.5321390172691,-122.29463556804662,0,0,2,6,0,0,10,10
26,47.5241690830856,-122.36672632129532,4,0,2,0,2,0,10,10
27,47.66422907030041,-122.34469069887416,10,0,7,0,2,0,10,10
28,47.64399228109959,-122.34016603714852,10,0,10,0,0,0,10,10
29,47.5503136305014,-122.3898060962107,6,0,2,0,1,0,10,10
30,47.56580101999362,-122.4339048159206,0,0,0,0,0,0,7,0
31,47.5137784970166,-122.41327787179608,0,0,0,0,0,0,10,0
32,47.61589253347445,-122.4109046813916,0,0,0,0,0,0,6,0
33,47.57032455045288,-122.3651671347999,3,0,3,0,0,0,10,6
34,47.60706581866284,-122.24041020596448,0,0,1,0,0,0,10,1
35,47.59511008398107,-122.40404622509836,0,0,0,3,0,0,10,0
36,47.57984019420863,-122.3303658815,9,1,1,4,2,0,10,10
37,47.65891211350889,-122.25222523851772,0,0,0,10,0,0,8,0
38,47.5649860023896,-122.36741161314576,6,2,5,3,0,1,10,10
39,47.63864698451231,-122.32679653856322,10,5,0,4,0,0,10,10
40,47.68495197913197,-122.27660886505336,1,3,0,7,1,0,10,4
41,47.56029866741865,-122.42230719131392,0,0,0,3,0,0,9,1
42,47.649744426199085,-122.41476398556703,0,0,0,1,0,0,10,2
43,47.56612406360328,-122.30185167437944,5,1,0,5,2,0,10,10
44,47.672731898829625,-122.30318860882184,10,4,0,6,0,6,10,10
45,47.51256754625854,-122.33102119519256,0,4,0,6,0,0,10,0
46,47.67914771406705,-122.2991384071312,10,5,0,7,1,2,10,10
47,47.6992938886108,-122.23594563298718,0,0,0,10,0,0,9,2
48,47.66805345667934,-122.35214629242702,10,4,0,2,1,0,10,10
49,47.55529730070684,-122.41766813813038,0,0,0,3,0,0,10,1
50,47.670269859992565,-122.3014670042733,10,3,8,5,1,4,10,10
51,47.62664504857871,-122.28007199435122,4,2,10,6,1,0,10,10
52,47.5223827958022,-122.27791610028024,6,4,1,6,1,0,10,10
53,47.54229709487967,-122.2903057197592,10,4,5,6,3,0,10,10
54,47.51136292818271,-122.28746601085942,1,0,0,6,0,0,10,1
55,47.56030421499057,-122.32543081293964,6,2,1,3,0,1,10,10
56,47.604117853200734,-122.34145963865237,10,0,9,4,0,10,10,10
57,47.70702961749389,-122.2614868495148,0,0,1,9,0,0,9,0
58,47.68175161172617,-122.25458727640697,0,1,1,9,0,0,8,1
59,47.59571125036351,-122.2681793235922,0,0,0,6,0,0,10,0
60,47.69306713464098,-122.25258731795988,0,0,0,8,0,0,6,0
61,47.53223699227052,-122.26331584338789,10,2,4,7,0,0,10,0
62,47.52942412656776,-122.27281407504104,10,5,4,6,0,0,10,0
63,47.69066542655073,-122.38635118937516,7,3,5,1,0,1,10,0
64,47.61251549356735,-122.31469245450796,10,4,10,5,0,10,10,0
65,47.57151204477317,-122.28828779489868,10,4,10,6,0,0,10,0
66,47.54570247235522,-122.3837833080024,5,4,9,4,0,1,10,0
67,47.537227072965,-122.3210362240659,3,0,5,4,0,0,10,0
68,47.65150586818206,-122.37509202527782,6,0,1,1,1,2,10,0
69,47.63853274789959,-122.24436729525372,0,1,2,10,0,0,9,0
70,47.552544018728376,-122.26418041566843,2,2,3,8,0,0,10,10
71,47.52521923392672,-122.28900962169804,1,2,0,6,0,0,10,5
72,47.60539854136327,-122.29174049446948,10,6,10,5,2,2,10,10
73,47.54951712884409,-122.29587740322634,5,1,6,4,1,1,10,10
74,47.670555524244335,-122.31457360294806,10,7,8,4,2,6,10,10
75,47.61961020729171,-122.25055882838954,0,0,1,9,0,0,10,2
76,47.697000333965136,-122.36138249876672,10,0,3,1,2,8,10,10
77,47.599220045479626,-122.25875529969451,0,0,0,8,0,0,10,1
78,47.608154267044256,-122.25640804027763,0,0,0,8,0,0,10,0
79,47.65084237928906,-122.28513157474195,0,0,4,6,0,0,10,7
80,47.6723258404371,-122.42882611057448,0,1,0,0,0,0,7,0
81,47.68341917730923,-122.26322884554584,1,1,1,7,0,0,10,1
82,47.69514831040444,-122.4235524541606,0,0,0,0,0,0,4,0
83,47.63737059828228,-122.43484591913432,0,0,0,1,0,0,6,0
84,47.52066399380529,-122.25095771052952,0,1,4,7,0,1,10,6
85,47.66994044871918,-122.24986150790744,0,0,0,10,0,0,6,0
86,47.57219920568197,-122.28588997167802,0,4,10,6,2,0,10,10
87,47.671643974705205,-122.3093322779053,0,3,7,4,1,8,10,10
88,47.63127823653426,-122.28398111065106,0,2,9,6,1,2,10,10
89,47.586950765677095,-122.3941405296038,0,1,4,3,2,2,10,10
